Tabaruzaka Station	田原坂駅（たばるざか）
Tomizu Station	富水駅（とみず）
Tomo Station	伴駅（とも）
Tomobe Station	友部駅（ともべ）
Tomo-chūō Station	伴中央駅（ともちゅうおう）
Tomoe Station	友江駅（ともえ）
Tomoegawa Station	巴川駅（ともえがわ）
Tomura Station	十村駅（とむら）
Tōna Station	東名駅（とうな）
Tonami Station	砺波駅（となみ）
Tonda Station	富田駅 (大阪府)（とんだ）
Tondabayashi Station	富田林駅（とんだばやし）
Tondabayashi-nishiguchi Station	富田林西口駅（とんだばやしにしぐち）
Toneri Station	舎人駅（とねり）
Toneri-kōen Station	舎人公園駅（とねりこうえん）
Tōni Station	唐丹駅（とうに）
Tōno Station	遠野駅（とおの）
Tōnohama Station	唐浜駅（とうのはま）
Tōnoharu Station	唐の原駅（とうのはる）
Tōnohetsuri Station	塔のへつり駅（とうのへつり）
Tonoki Station	富木駅（とのき）
Tonomi Station	富海駅（とのみ）
Tōnosawa Station	塔ノ沢駅（とうのさわ）
Tonoshō Station	富野荘駅（とのしょう）
Tonoyama Station	殿山駅（とのやま）
Tōrichōsuji Station	通町筋駅（とおりちょうすじ）
Tōritani Station	通谷駅（とおりたに）
Torahime Station	虎姫駅（とらひめ）
Torami Station	東浪見駅（とらみ）
Toranomon Station	虎ノ門駅（とらのもん）
Toride Station	取手駅（とりで）
Torigata Station	鳥形駅（とりがた）
Torihama Station	鳥浜駅（とりはま）
Torii Station (Aichi)	鳥居駅（とりい）
Toriimae Station	鳥居前駅（とりいまえ）
Toriimoto Station	鳥居本駅（とりいもと）
Torinoki Station	鳥ノ木駅（とりのき）
Torisawa Station	鳥沢駅（とりさわ）
Toritsudaigaku Station	都立大学駅（とりつだいがく）
Toritsu-Kasei Station	都立家政駅（とりつかせい）
Toro Station	土呂駅（とろ）
Tōro Station	塘路駅（とうろ）
Torokko Arashiyama Station	トロッコ嵐山駅（トロッコあらしやま）
Torokko Hozukyō Station	トロッコ保津峡駅（トロッコほづきょう）
Torokko Kameoka Station	トロッコ亀岡駅（トロッコかめおか）
Torokko Saga Station	トロッコ嵯峨駅（トロッコさが）
Tosa-Ananai Station	土佐穴内駅（とさあなない）
Tosa-Ikku Station	土佐一宮駅（とさいっく）
Tosa-Irino Station	土佐入野駅（とさいりの）
Tosa-Iwahara Station	土佐岩原駅（とさいわはら）
Tosa-Kamikawaguchi Station	土佐上川口駅（とさかみかわぐち）
Tosa-Kamo Station	土佐加茂駅（とさかも）
Tosa-Kitagawa Station	土佐北川駅（とさきたがわ）
Tosa-Kure Station	土佐久礼駅（とさくれ）
Tosa-Nagaoka Station	土佐長岡駅（とさながおか）
Tosa-Ōtsu Station	土佐大津駅（とさおおつ）
Tosa-Saga Station	土佐佐賀駅（とささが）
Tosa-Shinjō Station	土佐新荘駅（とさしんじょう）
Tosa-Shirahama Station	土佐白浜駅（とさしらはま）
Tosa-Shōwa Station	土佐昭和駅（とさしょうわ）
Tosa-Taishō Station	土佐大正駅（とさたいしょう）
Tosa-Yamada Station	土佐山田駅（とさやまだ）
Toshibetsu Station	利別駅（としべつ）
Toshima Station	豊島駅（としま）
Tōshima Station	十島駅（とおしま）
Toshimaen Station	豊島園駅（としまえん）
Tōshōgū Station	東照宮駅（とうしょうぐう）
Toso Station	唐湊駅（とそ）
Tosu Station	鳥栖駅（とす）
Tōtōmi-Ichinomiya Station	遠江一宮駅（とおとうみいちのみや）
Totoro Station	土々呂駅（ととろ）
Totsuka Station	戸塚駅（とつか）
Tottori Station	鳥取駅（とっとり）
Tottoridaigaku-mae Station	鳥取大学前駅（とっとりだいがくまえ）
Tottorinoshō Station	鳥取ノ荘駅（とっとりのしょう）
Tōun Station	東雲駅 (北海道)（とううん）
Towada-Minami Station	十和田南駅（とわだみなみ）
Towadashi Station	十和田市駅（とわだし）
Towata Station	戸綿駅（とわた）
Tōya Station (Kushiro, Hokkaidō)	遠矢駅（とおや）
Tōya Station (Tōyako, Hokkaidō)	洞爺駅（とうや）
Toyama Station	富山駅（とやま）
Toyamaekimae Station	富山駅前駅（とやまえきまえ）
Toyamaguchi Station	富山口駅（とやまぐち）
Toyasaki Station	鳥矢崎駅（とやさき）
Tōyō Katsutadai Station	東葉勝田台駅（とうようかつただい）
Toyoake Station	豊明駅（とよあけ）
Tōyōchō Station	東陽町駅（とうようちょう）
Toyoda Station	豊田駅（とよだ）
Toyodachō Station	豊田町駅（とよだちょう）
Toyodahommachi Station	豊田本町駅（とよだほんまち）
Toyogaoka Station	豊ヶ岡駅（とよがおか）
Toyohama Station	豊浜駅（とよはま）
Toyohara Station	豊原駅（とよはら）
Toyoharu Station	豊春駅（とよはる）
Toyohashi Station	豊橋駅（とよはし）
Toyohashikōemmae Station	豊橋公園前駅（とよはしこうえんまえ）
Toyohirakōen Station	豊平公園駅（とよひらこうえん）
Toyohoro Station	豊幌駅（とよほろ）
Toyokawa Station (Aichi)	豊川駅 (愛知県)（とよかわ）
Toyokawa Station (Osaka)	豊川駅 (大阪府)（とよかわ）
Toyokawainari Station	豊川稲荷駅（とよかわいなり）
Toyokoro Station	豊頃駅（とよころ）
Toyomane Station	豊間根駅（とよまね）
Toyomi Station	豊実駅（とよみ）
Toyonaga Station	豊永駅（とよなが）
Toyonaka Station	豊中駅（とよなか）
Toyono Station	豊野駅（とよの）
Toyonuma Station	豊沼駅（とよぬま）
Toyooka Station (Hyogo)	豊岡駅 (兵庫県)（とよおか）
Toyooka Station (Shizuoka)	豊岡駅 (静岡県)（とよおか）
Toyosaka Station	豊栄駅（とよさか）
Toyosato Station (Hokkaidō)	豊郷駅 (北海道)（とよさと）
Toyosato Station (Shiga)	豊郷駅 (滋賀県)（とよさと）
Toyoshiki Station	豊四季駅（とよしき）
Toyoshimizu Station	豊清水駅（とよしみず）
Toyoshina Station	豊科駅（とよしな）
Toyosu Station	豊洲駅（とよす）
Toyotashi Station	豊田市駅（とよたし）
Toyotomi Station	豊富駅（とよとみ）
Toyotsu Station (Fukuoka)	豊津駅 (福岡県)（とよつ）
Toyotsu Station (Osaka)	豊津駅 (大阪府)（とよつ）
Toyotsuueno Station	豊津上野駅（とよつうえの）
Toyoura Station	豊浦駅（とようら）
Tozawa Station	戸沢駅（とざわ）
Tozuka-Angyō Station	戸塚安行駅（とづかあんぎょう）
Tr[edit]
Trade Center-mae Station	トレードセンター前駅（とれーどせんたーまえ）
Tsu[edit]
Tsu Station	津駅（つ）
Tsubaki Station	椿駅（つばき）
Tsubame Station	燕駅（つばめ）
Tsubame-Sanjō Station	燕三条駅（つばめさんじょう）
Tsubata Station	津幡駅（つばた）
Tsubogawa Station	壺川駅（つぼがわ）
Tsuboi Station	坪井駅（つぼい）
Tsuboigawakōen Station	坪井川公園駅（つぼいがわこうえん）
Tsubojiri Station	坪尻駅（つぼじり）
Tsubuku Station	津福駅（つぶく）
Tsuchihashi Station	土橋駅 (愛知県)（つちはし）
Tsuchitaru Station	土樽駅（つちたる）
Tsuchiura Station	土浦駅（つちうら）
Tsuchiyama Station	土山駅（つちやま）
Tsuchizaki Station	土崎駅（つちざき）
Tsuchizawa Station	土沢駅（つちざわ）
Tsuda Station	津田駅（つだ）
Tsudanuma Station	津田沼駅（つだぬま）
Tsudayama Station	津田山駅（つだやま）
Tsūdō Station	通洞駅（つうどう）
Tsuga Station	都賀駅（つが）
Tsugaru-Futamata Station	津軽二股駅（つがるふたまた）
Tsugaru-Goshogawara Station	津軽五所川原駅（つがるごしょがわら）
Tsugaru-Hamana Station	津軽浜名駅（つがるはまな）
Tsugaru-Iizume Station	津軽飯詰駅（つがるいいづめ）
Tsugaru-Imabetsu Station	津軽今別駅（つがるいまべつ）
Tsugaruishi Station	津軽石駅（つがるいし）
Tsugaru-Miyata Station	津軽宮田駅（つがるみやた）
Tsugaru-Nakasato Station	津軽中里駅（つがるなかさと）
Tsugaru-Onoe Station	津軽尾上駅（つがるおのえ）
Tsugaru-Osawa Station	津軽大沢駅（つがるおおさわ）
Tsugaru-Shinjō Station	津軽新城駅（つがるしんじょう）
Tsugaru-Yunosawa Station	津軽湯の沢駅（つがるゆのさわ）
Tsugawa Station	津川駅（つがわ）
Tsuge Station	柘植駅（つげ）
Tsuiki Station	築城駅（ついき）
Tsuji Station	辻駅（つじ）
Tsujidō Station	辻堂駅（つじどう）
Tsukada Station	塚田駅（つかだ）
Tsukaguchi Station (JR West)	塚口駅 (JR西日本)（つかぐち）
Tsukaguchi Station (Hankyu)	塚口駅 (阪急)（つかぐち）
Tsukahara Station	塚原駅（つかはら）
Tsukamoto Station	塚本駅（つかもと）
Tsukanome Station	塚目駅（つかのめ）
Tsukayama Station	塚山駅（つかやま）
Tsukida Station	月田駅（つきだ）
Tsukigaoka Station	月ヶ岡駅（つきがおか）
Tsukigaseguchi Station	月ヶ瀬口駅（つきがせぐち）
Tsukiji Station	築地駅（つきじ）
Tsukijibashi Station	築地橋駅（つきじばし）
Tsukijiguchi Station	築地口駅（つきじぐち）
Tsukijishijō Station	築地市場駅（つきじしじょう）
Tsukimino Station	つきみ野駅（つきみの）
Tsukimiyama Station	月見山駅（つきみやま）
Tsukinoki Station	槻木駅（つきのき）
Tsukinowa Station	つきのわ駅（つきのわ）
Tsukioka Station (Niigata)	月岡駅 (新潟県)（つきおか）
Tsukioka Station (Toyama)	月岡駅 (富山県)（つきおか）
Tsukisamu-Chūō Station	月寒中央駅（つきさむちゅうおう）
Tsukishima Station	月島駅（つきしま）
Tsukiyama Station	築山駅（つきやま）
Tsukizaki Station	月崎駅（つきざき）
Tsuko Station	津古駅（つこ）
Tsukuba Station	つくば駅（つくば）
Tsukuba-Sancho Station	筑波山頂駅（つくばさんちょう）
Tsukuda Station (Gunma)	津久田駅（つくだ）
Tsukuda Station (Tokushima)	佃駅（つくだ）
Tsukuihama Station	津久井浜駅（つくいはま）
Tsukumi Station	津久見駅（つくみ）
Tsukumo Station	津久毛駅（つくも）
Tsukuno Station	津久野駅（つくの）
Tsukushino Station	つくし野駅（つくしの）
Tsumazaki Station	妻崎駅（つまざき）
Tsumori Station	津守駅（つもり）
Tsunagi Station	津奈木駅（つなぎ）
Tsunan Station	津南駅（つなん）
Tsunashima Station	綱島駅（つなしま）
Tsuneyama Station	常山駅（つねやま）
Tsunezumi Station	常澄駅（つねずみ）
Tsuno Station	都農駅（つの）
Tsunozu Station	都野津駅（つのづ）
Tsunogawa Station	角川駅（つのがわ）
Tsunoi Station	津ノ井駅（つのい）
Tsunomori Station	津ノ森駅（つのもり）
Tsuru-bunkadaigaku-mae Station	都留文科大学前駅（つるぶんかだいがくまえ）
Tsurudomari Station	鶴泊駅（つるどまり）
Tsuruga Station	敦賀駅（つるが）
Tsurugamine Station	鶴ヶ峰駅（つるがみね）
Tsurugaoka Station	鶴ヶ丘駅（つるがおか）
Tsurugasaka Station	鶴ヶ坂駅（つるがさか）
Tsurugashima Station	鶴ヶ島駅（つるがしま）
Tsurugata Station	鶴形駅（つるがた）
Tsurugi Station	鶴来駅（つるぎ）
Tsuruhara Station	鶴原駅（つるはら）
Tsuruhashi Station	鶴橋駅（つるはし）
Tsurui Station	鶴居駅（つるい）
Tsurukawa Station	鶴川駅（つるかわ）
Tsuruma Station	鶴間駅（つるま）
Tsurumai Station	鶴舞駅（つるまい）
Tsurumakionsen Station	鶴巻温泉駅（つるまきおんせん）
Tsurumaru Station	鶴丸駅（つるまる）
Tsurumi Station	鶴見駅（つるみ）
Tsurumi-Ichiba Station	鶴見市場駅（つるみいちば）
Tsurumi-Ono Station	鶴見小野駅（つるみおの）
Tsurumiryokuchi Station	鶴見緑地駅（つるみりょくち）
Tsurunuma Station	鶴沼駅（つるぬま）
Tsuruoka Station	鶴岡駅（つるおか）
Tsurusaki Station	鶴崎駅（つるさき）
Tsurusato Station	鶴里駅（つるさと）
Tsuruse Station	鶴瀬駅（つるせ）
Tsurushi Station	都留市駅（つるし）
Tsuruta Station	鶴田駅（つるた）
Tsuruwa Station	鶴羽駅（つるわ）
Tsushima Station	津島駅（つしま）
Tsushimanomiya Station	津島ノ宮駅（つしまのみや）
Tsushinmachi Station	津新町駅（つしんまち）
Tsusumi Station	都住駅（つすみ）
Tsutsui Station (Aomori)	筒井駅 (青森県)（つつい）
Tsutsui Station (Nara)	筒井駅 (奈良県)（つつい）
Tsutsuishi Station	筒石駅（つついし）
Tsutsujigaoka Station (Miyagi)	榴ヶ岡駅（つつじがおか）
Tsutsujigaoka Station (Tokyo)	つつじヶ丘駅（つつじがおか）
Tsuwano Station	津和野駅（つわの）
Tsuya Station	津谷駅（つや）
Tsuyama Station	津山駅（つやま）
Tsuyamaguchi Station	津山口駅（つやまぐち）
Tsuyazaki Station	津屋崎駅（つやざき）
Tsuzu Station	通津駅（つづ）
Tsuzuki Station	都筑駅（つづき）
Tsuzuki-Fureai-no-Oka Station	都筑ふれあいの丘駅（つづきふれあいのおか）
Tsuzumigataki Station	鼓滝駅（つづみがたき）
Tsuzumigaura Station	鼓ヶ浦駅（つづみがうら
