Nabari Station	名張駅（なばり）
Nishinomiya-kitaguchi Station	西宮北口駅（にしのみやきたぐち）
Nishinomiya-Najio Station	西宮名塩駅（にしのみやなじお）
Nishinoshō Station	西ノ庄駅（にしのしょう）
Nishi-Nyūzen Station	西入善駅（にしにゅうぜん）
Nishio Station	西尾駅（にしお）
Nishi-Obihiro Station	西帯広駅（にしおびひろ）
Nishioe Station	西麻植駅（にしおえ）
Nishi-Ogikubo Station	西荻窪駅（にしおぎくぼ）
Nishioguchi Station	西尾口駅（にしおぐち）
Nishi-Okayama Station	西岡山駅（にしおかやま）
Nishi-Okazaki Station	西岡崎駅（にしおかざき）
Nishi-Ōchi Station	西相知駅（にしおうち）
Nishi-Ōgaki Station	西大垣駅（にしおおがき）
Nishi-Ōgata Station	西大方駅（にしおおがた）
Nishi-Ōhara Station	西大原駅（にしおおはら）
Nishiōhashi Station	西大橋駅（にしおおはし）
Nishi-Ōi Station	西大井駅（にしおおい）
Nishi-Ōita Station	西大分駅（にしおおいた）
Nishiōji Station	西大路駅（にしおおじ）
Nishiōji Oike Station	西大路御池駅（にしおおじおいけ）
Nishiōji-Sanjō Station	西大路三条駅（にしおおじさんじょう）
Nishi-Ōjima Station	西大島駅（にしおおじま）
Nishi-Ōmiya Station	西大宮駅（にしおおみや）
Nishi-Ōsaki Station	西大崎駅（にしおおさき）
Nishi-Ōtaki Station	西大滝駅（にしおおたき）
Nishi-Ōte Station	西大手駅（にしおおて）
Nishi-Ōtsuka Station	西大塚駅（にしおおつか）
Nishi-Ōya Station	西大家駅（にしおおや）
Nishi-Ōyama Station	西大山駅（にしおおやま）
Nishi-Ōzu Station	西大洲駅（にしおおず）
Nishi-Rubeshibe Station	西留辺蘂駅（にしるべしべ）
Nishi-Sabae Station	西鯖江駅（にしさばえ）
Nishi-Sagae Station	西寒河江駅（にしさがえ）
Nishi-Sakawa Station	西佐川駅（にしさかわ）
Nishi-Samani Station	西様似駅（にしさまに）
Nishi-Sanso Station	西三荘駅（にしさんそう）
Nishisato Station	西里駅（にしさと）
Nishi-Seiwa Station	西聖和駅（にしせいわ）
Nishisendai-Hairand Station	西仙台ハイランド駅（にしせんだいはいらんど）
Nishisen Jūichijō Station	西線11条駅（にしせんじゅういちじょう）
Nishisen Jūrokujō Station	西線16条駅（にしせんじゅうろくじょう）
Nishisen Jūyojō Station	西線14条駅（にしせんじゅうよじょう）
Nishisen Kujō Asahiyama-kōen-dōri Station	西線9条旭山公園通駅（にしせんくじょうあさひやまこうえんどおり）
Nishisen Rokujō Station	西線6条駅（にしせんろくじょう）
Nishi-Shibata Station	西新発田駅（にししばた）
Nishi-Shikama Station	西飾磨駅（にししかま）
Nishi-Shimmachi Station	西新町駅（にししんまち）
Nishi-Shinjuku Station	西新宿駅（にししんじゅく）
Nishi-Shinjuku Gochōme Station	西新宿五丁目駅（にししんじゅくごちょうめ）
Nishi Shinminato Station	西新湊駅（にししんみなと）
Nishi-Shiogama Station	西塩釜駅（にししおがま）
Nishi-Shiroi Station	西白井駅（にししろい）
Nishi-Shoro Station	西庶路駅（にししょろ）
Nishi-Soeda Station	西添田駅（にしそえだ）
Nishi-Sugamo Station	西巣鴨駅（にしすがも）
Nishi-Suzurandai Station	西鈴蘭台駅（にしすずらんだい）
Nishi-Tabira Station	西田平駅（にしたびら）
Nishi-Tachiarai Station	西太刀洗駅（にしたちあらい）
Nishi-Tachikawa Station	西立川駅（にしたちかわ）
Nishi-Taishidō Station	西太子堂駅（にしたいしどう）
Nishi-Takakura Station	西高蔵駅（にしたかくら）
Nishi-Takanosu Station	西鷹巣駅（にしたかのす）
Nishi-Takaoka Station	西高岡駅（にしたかおか）
Nishi-Takashimadaira Station	西高島平駅（にしたかしまだいら）
Nishi-Takasu Station	西高須駅（にしたかす）
Nishi-Takaya Station	西高屋駅（にしたかや）
Nishitakisawa Station	西滝沢駅（にしたきさわ）
Nishitanabe Station	西田辺駅（にしたなべ）
Nishi-Tawaramoto Station	西田原本駅（にしたわらもと）
Nishi-Tengachaya Station	西天下茶屋駅（にしてんがちゃや）
Nishitetsu Chihaya Station	西鉄千早駅（にしてつちはや）
Nishitetsu Fukuma Station	西鉄福間駅（にしてつふくま）
Nishitetsu Futsukaichi Station	西鉄二日市駅（にしてつふつかいち）
Nishitetsu Ginsui Station	西鉄銀水駅（にしてつぎんすい）
Nishitetsu Gojō Station	西鉄五条駅（にしてつごじょう）
Nishitetsu Hirao Station	西鉄平尾駅（にしてつひらお）
Nishitetsu Kashii Station	西鉄香椎駅（にしてつかしい）
Nishitetsu Koga Station	西鉄古賀駅（にしてつこが）
Nishitetsu Kurume Station	西鉄久留米駅（にしてつくるめ）
Nishitetsu Nakashima Station	西鉄中島駅（にしてつなかしま）
Nishitetsu Ogōri Station	西鉄小郡駅（にしてつおごおり）
Nishitetsu Shingū Station	西鉄新宮駅（にしてつしんぐう）
Nishitetsu Wataze Station	西鉄渡瀬駅（にしてつわたぜ）
Nishitetsu Yanagawa Station	西鉄柳川駅（にしてつやながわ）
Nishi-Tokorozawa Station	西所沢駅（にしところざわ）
Nishi-Tomii Station	西富井駅（にしとみい）
Nishi-Tomioka Station	西富岡駅（にしとみおか）
Nishi-Toride Station	西取手駅（にしとりで）
Nishi-Toyama Station	西富山駅（にしとやま）
Nishi-Tsubame Station	西燕駅（にしつばめ）
Nishi-Tsuruga Station	西敦賀駅（にしつるが）
Nishi-Ueda Station	西上田駅（にしうえだ）
Nishi-Umeda Station	西梅田駅（にしうめだ）
Nishi-Uozu Station	西魚津駅（にしうおづ）
Nishiura Station	西浦駅（にしうら）
Nishi-Urakami Station	西浦上駅（にしうらかみ）
Nishi-Urawa Station	西浦和駅（にしうらわ）
Nishi-Wada Station	西和田駅（にしわだ）
Nishi-Wakamatsu Station	西若松駅（にしわかまつ）
Nishiwakishi Station	西脇市駅（にしわきし）
Nishi-Waseda Station	西早稲田駅（にしわせだ）
Nishiya Station	西谷駅（にしや）
Nishi-Yaizu Station	西焼津駅（にしやいづ）
Nishiyama Station (Fukuoka)	西山駅 (福岡県)（にしやま）
Nishiyama Station (Niigata)	西山駅 (新潟県)（にしやま）
Nishiyamaguchi Station	西山口駅（にしやまぐち）
Nishiyamakōen Station	西山公園駅（にしやまこうえん）
Nishiyama Tennozan Station	西山天王山駅（にしやまてんのうざん）
Nishi-Yamana Station	西山名駅（にしやまな）
Nishiyashiki Station	西屋敷駅（にしやしき）
Nishi-Yokohama Station	西横浜駅（にしよこはま）
Nishi Yonchōme Station	西4丁目駅（にしよんちょうめ）
Nishi-Yonezawa Station	西米沢駅（にしよねざわ）
Nishi-Yoshii Station	西吉井駅（にしよしい）
Nishōishi Station	二升石駅（にしょういし）
Nissei-Chūō Station	日生中央駅（にっせいちゅうおう）
Nisseki-byōinmae Station	日赤病院前駅（にっせきびょういんまえ）
Nisshin Station (Aichi)	日進駅 (愛知県)（にっしん）
Nisshin Station (Hokkaido)	日進駅 (北海道)（にっしん）
Nisshin Station (Saitama)	日進駅 (埼玉県)（にっしん）
Nitanai Station	似内駅（にたない）
Nitta Station (Fukushima)	新田駅 (福島県)（にった）
Nitta Station (Miyagi)	新田駅 (宮城県)（にった）
Nittaki Station	日立木駅（にったき）
Nittano Station	新田野駅（にったの）
Nittazuka Station	新田塚駅（にったづか）
Niwasaka Station	庭坂駅（にわさか）
Niwase Station	庭瀬駅（にわせ）
Niyama Station	仁山駅（にやま）
No[edit]
Nō Station	能生駅（のう）
Nobeoka Station	延岡駅（のべおか）
Nobeyama Station	野辺山駅（のべやま）
Nobiru Station	野蒜駅（のびる）
Noboribetsu Station	登別駅（のぼりべつ）
Noborito Station	登戸駅（のぼりと）
Nobukata Station	延方駅（のぶかた）
Nobuki Station	信木駅（のぶき）
Nobusha Station	信砂駅（のぶしゃ）
Nochi Station	野馳駅（のち）
Noda Station (JR West)	野田駅 (JR西日本)（のだ）
Noda Station (Hanshin)	野田駅 (阪神)（のだ）
Nodagō Station	野田郷駅（のだごう）
Nodahanshin Station	野田阪神駅（のだはんしん）
Nodajō Station	野田城駅（のだじょう）
Nodaoi Station	野田生駅（のだおい）
Nodashi Station	野田市駅（のだし）
Noda-Shimmachi Station	野田新町駅（のだしんまち）
Noda-Tamagawa Station	野田玉川駅（のだたまがわ）
Noe Station	野江駅（のえ）
Noe-Uchindai Station	野江内代駅（のえうちんだい）
Nōgakubumae Station	農学部前駅（のうがくぶまえ）
Nogami Station	野上駅（のがみ）
Nogamihara Station	野上原駅（のがみはら）
Nogata Station	野方駅（のがた）
Nōgata Station	直方駅（のおがた）
Nogi Station (Shimane)	乃木駅（のぎ）
Nogi Station (Tochigi)	野木駅（のぎ）
Nogisawa Station	野木沢駅（のぎさわ）
Nogizaka Station	乃木坂駅（のぎざか）
Noheji Station	野辺地駅（のへじ）
Noichi Station	のいち駅
Nojimakōen Station	野島公園駅（のじまこうえん）
Nojiri Station	野尻駅（のじり）
Nokanan Station	野花南駅（のかなん）
Noke Station	野芥駅（のけ）
Nōkendai Station	能見台駅（のうけんだい）
Noma Station	野間駅（のま）
Nomachi Station	野町駅（のまち）
Nōmachi Station	能町駅（のうまち）
Nomineagari Station	能美根上駅（のみねあがり）
Nonai Station	野内駅（のない）
Nonaka Station	野中駅（のなか）
Nonami Station	野並駅（のなみ）
Nonodake Station	のの岳駅（ののだけ）
Nonoichi Station (JR West)	野々市駅 (JR西日本)（ののいち）
Nonoichi Station (Hokuriku Railway)	野々市駅 (北陸鉄道)（ののいち）
Nonoichi-Kōdaimae Station	野々市工大前駅（ののいちこうだいまえ）
Nonokuchi Station	野々口駅（ののくち）
Norfork Hiroba Station	ノーフォーク広場駅（のーふぉーくひろば）
Nopporo Station	野幌駅（のっぽろ）
Nose Station	能瀬駅（のせ）
Noseki Station	野跡駅（のせき）
Noshi Station	野志駅（のし）
Noshiro Station	能代駅（のしろ）
Notobe Station	能登部駅（のとべ）
Notogawa Station	能登川駅（のとがわ）
Noto-Kashima Station	能登鹿島駅（のとかしま）
Noto-Nakajima Station	能登中島駅（のとなかじま）
Noto-Ninomiya Station	能登二宮駅（のとにのみや）
Noya Station	野矢駅（のや）
Nozaki Station (Osaka)	野崎駅 (大阪府)（のざき）
Nozaki Station (Tochigi)	野崎駅 (栃木県)（のざき）
Nozato Station	野里駅（のざと）
Nozawa Station	野沢駅（のざわ）
Nozoki Station	及位駅（のぞき）
Nukada Station	額田駅 (茨城県)（ぬかだ）
Nu[edit]
Nuka-Jūtakumae Station	額住宅前駅（ぬかじゅうたくまえ）
Nukanan Station	糠南駅（ぬかなん）
Nukata Station	額田駅 (大阪府)（ぬかた）
Nukazawa Station	糠沢駅（ぬかざわ）
Nukumi Station	生見駅（ぬくみ）
Nukuta Station	温田駅（ぬくた）
Numabe Station	沼部駅（ぬまべ）
Numabukuro Station	沼袋駅（ぬまぶくろ）
Numakubo Station	沼久保駅（ぬまくぼ）
Numanohata Station	沼ノ端駅（ぬまのはた）
Numanosawa Station	沼ノ沢駅（ぬまのさわ）
Numata Station	沼田駅（ぬまた）
Numazu Station	沼津駅（ぬまづ）
Nunobe Station	布部駅（ぬのべ）
Nunohara Station	布原駅（ぬのはら）
Nunoichi Station	布市駅（ぬのいち）
Nunose Station	布忍駅（ぬのせ）
Nunoshida Station	布師田駅（ぬのしだ）
Nunozaki Station	布崎駅（ぬのざき）
Nuttari Station	沼垂駅（ぬったり）
Nyūgawa Station (Ehime)	壬生川駅（にゅうがわ）
Nyūgawa Station (Mie)	丹生川駅（にゅうがわ）
Nyūno Station	入野駅 (広島県)（にゅうの）
Nyūzen Station	入善駅（にゅうぜん）
