Kabaike Station	蒲池駅 (愛知県)（かばいけ）
Kawarada Station	河原田駅（かわらだ）
Kawaragahama Station	瓦ヶ浜駅（かわらがはま）
Kawaraguchi-Mihagino Station	香春口三萩野駅（かわらぐちみはぎの）
Kawaraishi Station	川原石駅（かわらいし）
Kawaramachi Station (Kagawa)	瓦町駅（かわらまち）
Kawaramachi Station (Mie)	川原町駅（かわらまち）
Kawaramachi Station (Miyagi)	河原町駅 (宮城県)（かわらまち）
Kawarayuonsen Station	川原湯温泉駅（かわらゆおんせん）
Kawasa Station	河佐駅（かわさ）
Kawasaki Station	川崎駅（かわさき）
Kawasaki-Daishi Station	川崎大師駅（かわさきだいし）
Kawasakiguchi Station	河崎口駅（かわさきぐち）
Kawasaki-shinmachi Station	川崎新町駅（かわさきしんまち）
Kawase Station	河瀬駅（かわせ）
Kawashima Station	川島駅（かわしま）
Kawashiri Station	川尻駅（かわしり）
Kawata Station	川田駅（かわた）
Kawatabi-Onsen Station	川渡温泉駅（かわたびおんせん）
Kawatana Station	川棚駅（かわたな）
Kawatanaonsen Station	川棚温泉駅（かわたなおんせん）
Kawato Station	川跡駅（かわと）
Kawauchi Station (Iwate)	川内駅 (岩手県)（かわうち）
Kawauchi Station (Miyagi)	川内駅 (宮城県)（かわうち）
Kawawachō Station	川和町駅（かわわちょう）
Kawayama Station	河山駅（かわやま）
Kawayuonsen Station	川湯温泉駅（かわゆおんせん）
Kawazoe Station	川添駅（かわぞえ）
Kawazu Station	河津駅（かわづ）
Kayabachō Station	茅場町駅（かやばちょう）
Kayakusa Station	萱草駅（かやくさ）
Kayama Station	栢山駅（かやま）
Kayamachi Station	茅町駅（かやまち）
Kayamachi Rokuchōme Station	萱町六丁目駅（かやまちろくちょうめ）
Kayanuma Station	茅沼駅（かやぬま）
Kayashima Station	萱島駅（かやしま）
Kazahaya Station	風早駅（かざはや）
Kazamatsuri Station	風祭駅（かざまつり）
Kazashigaoka Station	挿頭丘駅（かざしがおか）
Kazo Station	加須駅（かぞ）
Kazuma Station	鹿妻駅（かづま）
Kazuno-Hanawa Station	鹿角花輪駅（かづのはなわ）
Kazusa-Azuma Station	上総東駅（かずさあずま）
Kazusa-Ichinomiya Station	上総一ノ宮駅（かずさいちのみや）
Kazusa-Kameyama Station	上総亀山駅（かずさかめやま）
Kazusa-Kawama Station	上総川間駅（かずさかわま）
Kazusa-Kiyokawa Station	上総清川駅（かずさきよかわ）
Kazusa-Kubo Station	上総久保駅（かずさくぼ）
Kazusa-Matsuoka Station	上総松丘駅（かずさまつおか）
Kazusa-Minato Station	上総湊駅（かずさみなと）
Kazusa-Mitsumata Station	上総三又駅（かずさみつまた）
Kazusa-Murakami Station	上総村上駅（かずさむらかみ）
Kazusa-Nakagawa Station	上総中川駅（かずさなかがわ）
Kazusa-Nakano Station	上総中野駅（かずさなかの）
Kazusa-Okitsu Station	上総興津駅（かずさおきつ）
Kazusa-Ōkubo Station	上総大久保駅（かずさおおくぼ）
Kazusa-Tsurumai Station	上総鶴舞駅（かずさつるまい）
Kazusa-Ushiku Station	上総牛久駅（かずさうしく）
Kazusa-Yamada Station	上総山田駅（かずさやまだ）
K Computer Mae Station	京コンピュータ前駅（けいこんぴゅーたまえ）
Ke[edit]
Keage Station	蹴上駅（けあげ）
Kebaraichi Station	花原市駅（けばらいち）
Kega Station	毛賀駅 （けが）
Keibajōmae Station	競馬場前駅（けいばじょうまえ）
Keihan Ishiyama Station	京阪石山駅（けいはんいしやま）
Keihan-otsukyo Station	京阪大津京駅（けいはんおおつきょう）
Keihan Yamashina Station	京阪山科駅（けいはんやましな）
Keihan Zeze Station	京阪膳所駅（けいはんぜぜ）
Keikyū Kamata Station	京急蒲田駅（けいきゅうかまた）
Keikyū Kawasaki Station	京急川崎駅（けいきゅうかわさき）
Keikyū Kurihama Station	京急久里浜駅（けいきゅうくりはま）
Keikyū Nagasawa Station	京急長沢駅（けいきゅうながさわ）
Keikyū Ōtsu Station	京急大津駅（けいきゅうおおつ）
Keikyū Shinkoyasu Station	京急新子安駅（けいきゅうしんこやす）
Keikyū Taura Station	京急田浦駅（けいきゅうたうら）
Keikyū Tomioka Station	京急富岡駅（けいきゅうとみおか）
Keikyū Tsurumi Station	京急鶴見駅（けいきゅうつるみ）
Keiō Hachiōji Station	京王八王子駅（けいおうはちおうじ）
Keiō Horinouchi Station	京王堀之内駅（けいおうほりのうち）
Keiō Inadazutsumi Station	京王稲田堤駅（けいおういなだづつみ）
Keiō Katakura Station	京王片倉駅（けいおうかたくら）
Keiō Nagayama Station	京王永山駅（けいおうながやま）
Keiō Tama Center Station	京王多摩センター駅（けいおうたませんたー）
Keiō Tamagawa Station	京王多摩川駅（けいおうたまがわ）
Keiō Yomiuri Land Station	京王よみうりランド駅（けいおうよみうりらんど）
Keirinjōmae Station (Aichi)	競輪場前駅 (愛知県)（けいりんじょうまえ）
Keirinjōmae Station (Toyama)	競輪場前駅 (富山県)（けいりんじょうまえ）
Keisatsushomae Station	警察署前駅（けいさつしょまえ）
Keisei Chiba Station	京成千葉駅（けいせいちば）
Keisei Funabashi Station	京成船橋駅（けいせいふなばし）
Keisei Inage Station	京成稲毛駅（けいせいいなげ）
Keisei Hikifune Station	京成曳舟駅（けいせいひきふね）
Keisei Kanamachi Station	京成金町駅（けいせいかなまち）
Keisei Koiwa Station	京成小岩駅（けいせいこいわ）
Keisei Makuhari Station	京成幕張駅（けいせいまくはり）
Keisei Makuharihongō Station	京成幕張本郷駅（けいせいまくはりほんごう）
Keisei Nakayama Station	京成中山駅（けいせいなかやま）
Keisei Narita Station	京成成田駅（けいせいなりた）
Keisei Nishifuna Station	京成西船駅（けいせいにしふな）
Keisei Ōkubo Station	京成大久保駅（けいせいおおくぼ）
Keisei Ōwada Station	京成大和田駅（けいせいおおわだ）
Keisei Sakura Station	京成佐倉駅（けいせいさくら）
Keisei Sekiya Station	京成関屋駅（けいせいせきや）
Keisei Shisui Station	京成酒々井駅（けいせいしすい）
Keisei Takasago Station	京成高砂駅（けいせいたかさご）
Keisei Tateishi Station	京成立石駅（けいせいたていし）
Keisei Tsudanuma Station	京成津田沼駅（けいせいつだぬま）
Keisei Ueno Station	京成上野駅（けいせいうえの）
Keisei Usui Station	京成臼井駅（けいせいうすい）
Keisei Yawata Station	京成八幡駅（けいせいやわた）
Keisen Station	桂川駅 (福岡県)（けいせん）
Kembuchi Station	剣淵駅（けんぶち）
Kemigawa Station	検見川駅（けみがわ）
Kemigawahama Station	検見川浜駅（けみがわはま）
Kenchō-mae Station (Chiba)	県庁前駅 (千葉県)（けんちょうまえ）
Kenchō-mae Station (Ehime)	県庁前駅 (愛媛県)（けんちょうまえ）
Kenchō-mae Station (Hiroshima)	県庁前駅 (広島県)（けんちょうまえ）
Kenchō-mae Station (Hyōgo)	県庁前駅 (兵庫県)（けんちょうまえ）
Kenchō-mae Station (Toyama)	県庁前駅 (富山県)（けんちょうまえ）
Kenkyū-gakuen Station	研究学園駅（けんきゅうがくえん）
Kenritsubijutsukanmae Station	県立美術館前駅（けんりつびじゅつかんまえ）
Kenritsu Daigaku Station	県立大学駅（けんりつだいがく）
Ken-sōgō-undōjō Station	県総合運動場駅（けんそうごううんどうじょう）
Kenyoshi Station	剣吉駅（けんよし）
Kesennuma Station	気仙沼駅（けせんぬま）
Keyakidai Station	けやき台駅（けやきだい）
Keyakidaira Station	欅平駅（けやきだいら）
Ki[edit]
Kiba Station	木場駅（きば）
Kibana Station	木花駅（きばな）
Kibinomakibi Station	吉備真備駅（きびのまきび）
Kibitsu Station	吉備津駅（きびつ）
Kibōgaoka Station	希望ヶ丘駅（きぼうがおか）
Kibōgaokakōkōmae Station	希望が丘高校前駅（きぼうがおかこうこうまえ）
Kibukawa Station	貴生川駅（きぶかわ）
Kibuneguchi Station	貴船口駅（きぶねぐち）
Kichijōji Station	吉祥寺駅（きちじょうじ）
Kida Station	木田駅（きだ）
Kido Station	木戸駅（きど）
Kido-Nanzōinmae Station	城戸南蔵院前駅（きどなんぞういんまえ）
Kiga Station	気賀駅（きが）
Kii Station	紀伊駅（きい）
Kii-Arita Station	紀伊有田駅（きいありた）
Kii-Gobō Station	紀伊御坊駅（きいごぼう）
Kii-Hiki Station	紀伊日置駅（きいひき）
Kii-Hime Station	紀伊姫駅（きいひめ）
Kii-Hosokawa Station	紀伊細川駅（きいほそかわ）
Kii-Ichigi Station	紀伊市木駅（きいいちぎ）
Kii-Ida Station	紀伊井田駅（きいいだ）
Kii-Kamiya Station	紀伊神谷駅（きいかみや）
Kii-Katsuura Station	紀伊勝浦駅（きいかつうら）
Kii-Miyahara Station	紀伊宮原駅（きいみやはら）
Kii-Nagashima Station	紀伊長島駅（きいながしま）
Kii-Nagata Station	紀伊長田駅（きいながた）
Kii-Nakanoshima Station	紀伊中ノ島駅（きいなかのしま）
Kii-Ogura Station	紀伊小倉駅（きいおぐら）
Kiire Station	喜入駅（きいれ）
Kii-Sano Station	紀伊佐野駅（きいさの）
Kii-Shimizu Station	紀伊清水駅（きいしみず）
Kii-Shinjō Station	紀伊新庄駅（きいしんじょう）
Kii-Tahara Station	紀伊田原駅（きいたはら）
Kii-Tanabe Station	紀伊田辺駅（きいたなべ）
Kii-Tenma Station	紀伊天満駅（きいてんま）
Kii-Tonda Station	紀伊富田駅（きいとんだ）
Kii-Uchihara Station	紀伊内原駅（きいうちはら）
Kii-Uragami Station	紀伊浦神駅（きいうらがみ）
Kii-Yamada Station	紀伊山田駅（きいやまだ）
Kii-Yura Station	紀伊由良駅（きいゆら）
Kiki Station	木岐駅（きき）
Kikitsu Station	喜々津駅（ききつ）
Kikonai Station	木古内駅（きこない）
Kikugaoka Station	企救丘駅（きくがおか）
Kikugawa Station	菊川駅 (静岡県)（きくがわ）
Kikukawa Station	菊川駅 (東京都)（きくかわ）
Kikuma Station	菊間駅（きくま）
Kikuna Station	菊名駅（きくな）
Kikusui Station	菊水駅（きくすい）
Kikusuiyama Station	菊水山駅（きくすいやま）
Kikuta Station	喜久田駅（きくた）
Kikyō Station	桔梗駅（ききょう）
Kikyōgaoka Station	桔梗が丘駅（ききょうがおか）
Kimachi Station	来待駅（きまち）
Kimi Station	木見駅（きみ）
Kimigahama Station	君ヶ浜駅（きみがはま）
Kimiidera Station	紀三井寺駅（きみいでら）
Kimitōge Station	紀見峠駅（きみとうげ）
Kimitsu Station	君津駅（きみつ）
Kinashi Station	鬼無駅（きなし）
Kinjō-futō Station	金城ふ頭駅（きんじょうふとう）
Kinkō Station	錦江駅（きんこう）
Kinmeiji Station	欽明路駅（きんめいじ）
Kinno Station	金野駅（きんの）
Kino Station	木野駅（きの）
Kinoe Station	木上駅（きのえ）
Kinokawa Station	紀ノ川駅（きのかわ）
Kinomiya Station	来宮駅（きのみや）
Kinomoto Station	木ノ本駅（きのもと）
Kinosakionsen Station	城崎温泉駅（きのさきおんせん）
Kinoshita Station	木ノ下駅（きのした）
Kinoyama Station	木野山駅（きのやま）
Kinshichō Station	錦糸町駅（きんしちょう）
Kintaichi-Onsen Station	金田一温泉駅（きんたいちおんせん）
Kintetsu Gose Station	近鉄御所駅（きんてつごせ）
Kintetsu-Hatta Station	近鉄八田駅（きんてつはった）
Kintetsu Kanie Station	近鉄蟹江駅（きんてつかにえ）
Kintetsu Koriyama Station	近鉄郡山駅（きんてつこおりやま）
Kintetsu Miyazu Station	近鉄宮津駅（きんてつみやづ）
Kintetsu Nagashima Station	近鉄長島駅（きんてつながしま）
Kintetsu Nagoya Station	近鉄名古屋駅（きんてつなごや）
Kintetsu Nara Station	近鉄奈良駅（きんてつなら）
Kintetsu Nippombashi Station	近鉄日本橋駅（きんてつにっぽんばし）
Kintetsu Shimoda Station	近鉄下田駅（きんてつしもだ）
Kintetsu Shinjō Station	近鉄新庄駅（きんてつしんじょう）
Kintetsu Tambabashi Station	近鉄丹波橋駅（きんてつたんばばし）
Kintetsu Tomida Station	近鉄富田駅（きんてつとみだ）
Kintetsu Yao Station	近鉄八尾駅（きんてつやお）
Kintetsu Yatomi Station	近鉄弥富駅（きんてつやとみ）
Kintetsu Yokkaichi Station	近鉄四日市駅（きんてつよっかいち）
Kinugasa Station	衣笠駅（きぬがさ）
Kinugawakōen Station	鬼怒川公園駅（きぬがわこうえん）
Kinugawaonsen Station	鬼怒川温泉駅（きぬがわおんせん）
Kinunobebashi Station	絹延橋駅（きぬのべばし）
Kinuyama Station	衣山駅（きぬやま）
Kioroshi Station	木下駅（きおろし）
Kira-Yoshida Station	吉良吉田駅（きらよしだ）
Kire-Uriwari Station	喜連瓜破駅（きれうりわり）
Kiridōshi Station	切通駅（きりどおし）
Kirihara Station (Nagano)	桐原駅 (長野県)（きりはら）
Kirihara Station (Niigata)	桐原駅 (新潟県)（きりはら）
Kiriishi Station	切石駅（きりいし）
Kirikiri Station	吉里吉里駅（きりきり）
Kirime Station	切目駅（きりめ）
Kirishimajingū Station	霧島神宮駅（きりしまじんぐう）
Kirishimaonsen Station	霧島温泉駅（きりしまおんせん）
Kirohara Station	木路原駅（きろはら）
Kiryū Station	桐生駅（きりゅう）
Kiryū-Kyūjō-Mae Station	桐生球場前駅（きりゅうきゅうじょうまえ）
Kisa Station	吉舎駅（きさ）
Kisaichi Station	私市駅（きさいち）
Kisakata Station	象潟駅（きさかた）
Kisarazu Station	木更津駅（きさらづ）
Kishi Station (Osaka)	喜志駅（きし）
Kishi Station (Wakayama)	貴志駅（きし）
Kishibe Station	岸辺駅（きしべ）
Kishibojinmae Station	鬼子母神前駅（きしぼじんまえ）
Kishimoto Station	岸本駅（きしもと）
Kishine-kōen Station	岸根公園駅（きしねこうえん）
Kishinosato Station	岸里駅（きしのさと）
Kishinosato-Tamade Station	岸里玉出駅（きしのさとたまで）
Kishiwada Station	岸和田駅（きしわだ）
Kiso-Fukushima Station	木曽福島駅（きそふくしま）
Kisogawa Station	木曽川駅（きそがわ）
Kisogawazutsumi Station	木曽川堤駅（きそがわづつみ）
Kiso-Hirasawa Station	木曽平沢駅（きそひらさわ）
Kisuki Station	木次駅（きすき）
Kita Station	喜多駅（きた）
Kita-Ageo Station	北上尾駅（きたあげお）
Kita-Akabane Station	北赤羽駅（きたあかばね）
Kita-Amarume Station	北余目駅（きたあまるめ）
Kita-Anjō Station	北安城駅（きたあんじょう）
Kita-Arai Station	北新井駅（きたあらい）
Kita-Arima Station	北有馬駅（きたありま）
Kita-Asaka Station	北朝霞駅（きたあさか）
Kita-Ayase Station	北綾瀬駅（きたあやせ）
Kitabatake Station	北畠駅（きたばたけ）
Kita-Biei Station	北美瑛駅（きたびえい）
Kita-Chigasaki Station	北茅ヶ崎駅（きたちがさき）
Kita-Chippubetsu Station	北秩父別駅（きたちっぷべつ）
Kitachō Station	木太町駅（きたちょう）
Kitago Station	北府駅（きたご）
Kita-Fuchū Station	北府中駅（きたふちゅう）
Kita-Fujioka Station	北藤岡駅（きたふじおか）
Kita-Funaoka Station	北舟岡駅（きたふなおか）
Kitafutō Station	北埠頭駅（きたふとう）
Kitagata Station (Fukuoka)	北方駅 (福岡県)（きたがた）
Kitagata Station (Saga)	北方駅 (佐賀県)（きたがた）
Kitagata-Makuwa Station	北方真桑駅（きたがたまくわ）
Kitagawa Station	北川駅（きたがわ）
Kitagawachi Station	北河内駅 (徳島県)（きたがわち）
Kitagō Station	北郷駅（きたごう）
Kitagōchi Station	北河内駅 (山口県)（きたごうち）
Kita-Gōdo Station	北神戸駅（きたごうど）
Kita-Gosen Station	北五泉駅（きたごせん）
Kita-Hachioji Station	北八王子駅（きたはちおうじ）
Kitahama Station (Hokkaido)	北浜駅 (北海道)（きたはま）
Kitahama Station (Osaka)	北浜駅 (大阪府)（きたはま）
Kitahanada Station	北花田駅（きたはなだ）
Kitahara Station	北原駅（きたはら）
Kita-Hatsutomi Station	北初富駅（きたはつとみ）
Kita-Higashiguchi Station	木太東口駅（きたひがしぐち）
Kita-Hinode Station	北日ノ出駅（きたひので）
Kita-Hiroshima Station	北広島駅（きたひろしま）
Kita-Horinouchi Station	北堀之内駅（きたほりのうち）
Kita-Hosono Station	北細野駅（きたほその）
Kita-Ichiyan Station	北一已駅（きたいちやん）
Kita-Iiyama Station	北飯山駅（きたいいやま）
Kita-Ikebukuro Station	北池袋駅（きたいけぶくろ）
Kita-Ikeno Station	北池野駅（きたいけの）
Kita-Itami Station	北伊丹駅（きたいたみ）
Kita-Iyo Station	北伊予駅（きたいよ）
Kitajō Station	北条駅（きたじょう）
Kitajūhachijō Station	北18条駅（きたじゅうはちじょう）
Kitajūnijō Station	北12条駅（きたじゅうにじょう）
Kitajūsanjō-higashi Station	北13条東駅（きたじゅうさんじょうひがし）
Kitakagaya Station	北加賀屋駅（きたかがや）
Kita-Kamakura Station	北鎌倉駅（きたかまくら）
Kitakami Station	北上駅（きたかみ）
Kita-Kanaoka Station	北金岡駅（きたかなおか）
Kita-Kanegasawa Station	北金ヶ沢駅（きたかねがさわ）
Kita-Kanuma Station	北鹿沼駅（きたかぬま）
Kita-Kashiwa Station	北柏駅（きたかしわ）
Kita-Kasukabe Station	北春日部駅（きたかすかべ）
Kitakata Station	喜多方駅（きたかた）
Kita-Kembuchi Station	北剣淵駅（きたけんぶち）
Kita-Kogane Station	北小金駅（きたこがね）
Kita-Kokubun Station	北国分駅（きたこくぶん）
Kita-Komatsu Station	北小松駅（きたこまつ）
Kita-Koshigaya Station	北越谷駅（きたこしがや）
Kita-Kōnosu Station	北鴻巣駅（きたこうのす）
Kita-Kumamoto Station	北熊本駅（きたくまもと）
Kitakume Station	北久米駅（きたくめ）
Kita-Kurihama Station	北久里浜駅（きたくりはま）
Kita-Kusu Station	北楠駅（きたくす）
Kitakyushu Kamotsu Terminal Station	北九州貨物ターミナル駅（きたきゅうしゅうかもつたーみなる）
Kitama Station	北間駅（きたま）
Kita-Marumori Station	北丸森駅（きたまるもり）
Kitamata Station	北俣駅（きたまた）
Kita-Matsudo Station	北松戸駅（きたまつど）
Kita-Matsumoto Station	北松本駅（きたまつもと）
Kitami Station (Tokyo)	喜多見駅（きたみ）
Kitami Station (Hokkaido)	北見駅（きたみ）
Kita-Mitsukaidō Station	北水海道駅（きたみつかいどう）
Kita-Mōka Station	北真岡駅（きたもおか）
Kitamori Station	北森駅（きたもり）
Kitamoto Station	北本駅（きたもと）
Kitanada Station	喜多灘駅（きたなだ）
Kita-Nagano Station	北長野駅（きたながの）
Kita-Naganoda Station	北永野田駅（きたながのだ）
Kita-Nagaoka Station	北長岡駅（きたながおか）
Kita-Nagase Station	北長瀬駅（きたながせ）
Kita-Nagayama Station	北永山駅（きたながやま）
Kita-Nakagomi Station	北中込駅（きたなかごみ）
Kita-Narashino Station	北習志野駅（きたならしの）
Kitanii-Matsumotodaigakumae Station	北新・松本大学前駅（きたにい・まつもとだいがくまえ）
Kitanijūyojō Station	北24条駅（きたにじゅうよじょう）
Kitano Station (Fukuoka)	北野駅 (福岡県)（きたの）
Kitano Station (Tokyo)	北野駅 (東京都)（きたの）
Kita-Nobeoka Station	北延岡駅（きたのべおか）
Kitanoda Station	北野田駅（きたのだ）
Kitano-Hakubaichō Station	北野白梅町駅（きたのはくばいちょう）
Kita-Noheji Station	北野辺地駅（きたのへじ）
Kitano-Masuzuka Station	北野桝塚駅（きたのますづか）
Kita-Noshiro Station	北能代駅（きたのしろ）
Kita-Ōgaki Station	北大垣駅（きたおおがき）
Kita-Ōishida Station	北大石田駅（きたおおいしだ）
Kitaōji Station	北大路駅（きたおおじ）
Kita-Okazaki Station	北岡崎駅（きたおかざき）
Kita-Ōmachi Station	北大町駅（きたおおまち）
Kita-Ōmagari Station	北大曲駅（きたおおまがり）
Kita-Ōmiya Station	北大宮駅（きたおおみや）
Kita-Ōno Station	北大野駅（きたおおの）
Kita-Otari Station	北小谷駅（きたおたり）
Kita-Pippu Station	北比布駅（きたぴっぷ）
Kita-Sabae Station	北鯖江駅（きたさばえ）
Kitasandō Station	北参道駅（きたさんどう）
Kitasanjo Station	北三条駅（きたさんじょう）
Kitasanjūyojō Station	北34条駅（きたさんじゅうよじょう）
Kita-Sasebo Station	北佐世保駅（きたさせぼ）
Kita-Sendai Station	北仙台駅（きたせんだい）
Kita-Senju Station	北千住駅（きたせんじゅ）
Kita-Senri Station	北千里駅（きたせんり）
Kita-Senzoku Station	北千束駅（きたせんぞく）
Kita-Shinagawa Station	北品川駅（きたしながわ）
Kitashinchi Station	北新地駅（きたしんち）
Kitashinkawa Station	北新川駅（きたしんかわ）
Kitashinoda Station	北信太駅（きたしのだ）
Kita-Shin-Yokohama Station	北新横浜駅（きたしんよこはま）
Kita-Shirakawa Station	北白川駅（きたしらかわ）
Kita-Sukematsu Station	北助松駅（きたすけまつ）
Kita-Suzaka Station	北須坂駅（きたすざか）
Kita-Takaiwa Station	北高岩駅（きたたかいわ）
Kita-Takasaki Station	北高崎駅（きたたかさき）
Kita-Tanabe Station	北田辺駅（きたたなべ）
Kita-Tatsumi Station	北巽駅（きたたつみ）
Kita-Toda Station	北戸田駅（きたとだ）
Kita-Tokiwa Station	北常盤駅（きたときわ）
Kitatono Station	北殿駅（きたとの）
Kita-Toyotsu Station	北豊津駅（きたとよつ）
Kitauchi Station	北宇智駅（きたうち）
Kitaura Station (Kōchi)	北浦駅 (高知県)（きたうら）
Kitaura Station (Miyagi)	北浦駅 (宮城県)（きたうら）
Kitaurakohan Station	北浦湖畔駅（きたうらこはん）
Kita-Urawa Station	北浦和駅（きたうらわ）
Kita-Uwajima Station	北宇和島駅（きたうわじま）
Kitayama Station (Aichi)	喜多山駅 (愛知県)（きたやま）
Kitayama Station (Ehime)	喜多山駅 (愛媛県)（きたやま）
Kitayama Station (Kyoto)	北山駅 (京都府)（きたやま）
Kitayama Station (Miyagi)	北山駅 (宮城県)（きたやま）
Kitayama Station (Tochigi)	北山駅 (栃木県)（きたやま）
Kita-Yamada Station	北山田駅 (大分県)（きたやまだ）
Kita-Yamata Station	北山田駅 (神奈川県)（きたやまた）
Kita-Yamagata Station	北山形駅（きたやまがた）
Kita-Yobanchō Station	北四番丁駅（きたよばんちょう）
Kita-Yono Station	北与野駅（きたよの）
Kita-Yoshida Station	北吉田駅（きたよしだ）
Kita-Yoshihara Station	北吉原駅（きたよしはら）
Kitsuki Station	杵築駅（きつき）
Kitsunegasaki Station	狐ヶ崎駅（きつねがさき）
Kiwa Station (Yamaguchi)	岐波駅（きわ）
Kiwa Station (Wakayama)	紀和駅（きわ）
Kiwado Station	黄波戸駅（きわど）
Kiyachō Station	木屋町駅（きやちょう）
Kiyama Station (Saga)	基山駅（きやま）
Kiyama Station (Fukui)	気山駅（きやま）
Kiyo Station	木与駅（きよ）
Kiyohata Station	清畠駅（きよはた）
Kiyokawa Station	清川駅（きよかわ）
Kiyokawaguchi Station	清川口駅（きよかわぐち）
Kiyomizu-Gojō Station	清水五条駅（きよみずこじょう）
Kiyone Station	清音駅（きよね）
Kiyosato Station	清里駅（きよさと）
Kiyosatocho Station	清里町駅（きよさとちょう）
Kiyose Station	清瀬駅（きよせ）
Kiyoshikōjin Station	清荒神駅（きよしこうじん）
Kiyosu Station	清洲駅（きよす）
Kiyosumi-Shirakawa Station	清澄白河駅（きよすみしらかわ）
Kiyotake Station	清武駅（きよたけ）
Kiyotaki Station	清滝駅（きよたき）
Kizaki Station	木崎駅（きざき）
Kizu Station (Hyogo)	木津駅 (兵庫県)（きづ）
Kizu Station (Kyoto)	木津駅 (京都府)（きづ）
Kizugawa Station	木津川駅（きづがわ）
Kizugawadai Station	木津川台駅（きづがわだい）
Kizukuri Station	木造駅（きづくり）
Kizuri-Kamikita Station	衣摺加美北駅（きずりかみきた）
Ko[edit]
Kō Station (Aichi)	国府駅 (愛知県)（こう）
Kō Station (Tokushima)	府中駅 (徳島県)（こう）
Koami-cho Station	小網町駅（こあみちょう）
Kobana Station	小塙駅（こばな）
Kobanchaya Station	木場茶屋駅（こばんちゃや）
Kobari Station	小針駅（こばり）
Kobata Station	木幡駅 (兵庫県)（こばた）
Kobato Station	小波渡駅（こばと）
Kobayashi Station (Chiba)	小林駅 (千葉県)（こばやし）
Kobayashi Station (Miyazaki)	小林駅 (宮崎県)（こばやし）
Kobe Station (Hyogo)	神戸駅 (兵庫県)（こうべ）
Kobe Station (Nagasaki)	古部駅（こべ）
Kobe-sannomiya Station	神戸三宮駅（こうべさんのみや）
Kōbe Kamotsu Terminal Station	神戸貨物ターミナル駅（こうべかもつたーみなる）
Kobi Station	古井駅（こび）
Koboke Station	小歩危駅（こぼけ）
Koboreguchi Station	河堀口駅（こぼれぐち）
Koboro Station	小幌駅（こぼろ）
Kobuchi Station (Kanagawa)	古淵駅（こぶち）
Kobuchi Station (Akita)	小渕駅（こぶち）
Kobuchizawa Station	小淵沢駅（こぶちざわ）
Kobunato Station	小舟渡駅（こぶなと）
Kōchi Station (Hiroshima)	河内駅（こうち）
Kōchi Station (Kōchi)	高知駅（こうち）
Kōchi-ekimae Station	高知駅前駅（こうちえきまえ）
Kōchishōgyōmae Station	高知商業前駅（こうちしょうぎょうまえ）
Kouchiumi Station	小内海駅（こうちうみ）
Kochibora Station	木知原駅（こちぼら）
Kōda Station (Aichi)	幸田駅（こうだ）
Kōda Station (Nagayo, Nagasaki)	高田駅 (長崎県)（こうだ）
Kōda Station (Saza, Nagasaki)	神田駅 (長崎県)（こうだ）
Kodaira Station	小平駅（こだいら）
Kodama Station	児玉駅（こだま）
Kodenmachō Station	小伝馬町駅（こでんまちょう）
Kōdo Station (Hiroshima)	河戸駅（こうど）
Kōdo Station (Kyoto)	興戸駅（こうど）
Kōdo-Homachigawa Station	河戸帆待川駅（こうどほまちがわ）
Kodomonokuni Station (Aichi)	こどもの国駅 (愛知県)（こどものくに）
Kodomonokuni Station (Kanagawa)	こどもの国駅 (神奈川県)（こどものくに）
Kodomonokuni Station (Miyazaki)	子供の国駅（こどものくに）
Kōen Station	公園駅（こうえん）
Kōenhigashiguchi Station	公園東口駅（こうえんひがしぐち）
Kōenji Station	高円寺駅（こうえんじ）
Kōenkami Station	公園上駅（こうえんかみ）
Kōennishi Station	公園西駅（こうえんにし）
Kōenshimo Station	公園下駅（こうえんしも）
Kōfu Station	甲府駅（こうふ）
Kōfūdai Station (Chiba)	光風台駅 (千葉県)（こうふうだい）
Kōfūdai Station (Osaka)	光風台駅 (大阪府)（こうふうだい）
Koga Station (Ibaraki)	古河駅（こが）
Koga Station (Fukuoka)	古賀駅（こが）
Kogagorufujōmae Station	古賀ゴルフ場前駅（こがごるふじょうまえ）
Koganchaya Station	古賀茶屋駅（こがんちゃや）
Kogane Station (Aichi)	黄金駅 (愛知県)（こがね）
Kogane Station (Hokkaido)	黄金駅 (北海道)（こがね）
Koganechō Station	黄金町駅（こがねちょう）
Koganei Station	小金井駅（こがねい）
Koganejōshi Station	小金城趾駅（こがねじょうし）
Koganezawa Station	小金沢駅（こがねざわ）
Kogawara Station	小川原駅（こがわら）
Koginosato Station	近義の里駅（こぎのさと）
Kogota Station	小牛田駅（こごた）
Koguriyama Station	小栗山駅（こぐりやま）
Kogushi Station	小串駅（こぐし）
Koguwa Station	蚕桑駅（こぐわ）
Kōgyōdanchi Station	工業団地駅（こうぎょうだんち）
Kōgyōkōkō-mae Station	工業高校前駅（こうぎょうこうこうまえ）
Kohama Station	粉浜駅（こはま）
Kohata Station	木幡駅 (JR西日本)（こはた）
Kohoku Station	湖北駅（こほく）
Kōhoku Station	江北駅（こうほく）
Koi Station	広電西広島（己斐）駅（ひろでんにしひろしま（こい））
Koide Station	小出駅（こいで）
Koigakubo Station	恋ヶ窪駅（こいがくぼ）
Koikawa Station (Akita)	鯉川駅（こいかわ）
Koikawa Station (Yamanashi)	小井川駅（こいかわ）
Koike Station	小池駅（こいけ）
